"","date","state","county","city","college","cases","mergeCS","countyCovidProp","plan","enrollment2018","type","adjCases"
"113","oct8","California","Los Angeles","Claremont","Pitzer College",1,"Los AngelesCalifornia",0.0276364222435322,"Fully online","1072","Private nonprofit, 4-year",0.000932835820895522
"114","oct8","California","San Diego","San Diego","Point Loma Nazarene University",8,"San DiegoCalifornia",0.0147492908130712,"Hybrid","4592","Private nonprofit, 4-year",0.00174216027874564
"115","oct8","California","Los Angeles","Claremont","Pomona College",1,"Los AngelesCalifornia",0.0276364222435322,"Fully online","1573","Private nonprofit, 4-year",0.000635727908455181
"116","oct8","California","Los Angeles","Whittier","Rio Hondo College",15,"Los AngelesCalifornia",0.0276364222435322,"Fully online","19997","Public, 4-year",0.000750112516877532
"117","oct8","California","Contra Costa","Moraga","Saint Mary's College of California",9,"Contra CostaCalifornia",0.0150165665966784,"Primarily online","3881","Private nonprofit, 4-year",0.00231898995104355
"118","oct8","California","San Diego","San Diego","San Diego Mesa College",21,"San DiegoCalifornia",0.0147492908130712,"Primarily online","22284","Public, 4-year",0.000942380183091007
"119","oct8","California","San Diego","San Diego","San Diego Miramar College",4,"San DiegoCalifornia",0.0147492908130712,"Primarily online","15893","Public, 2-year",0.000251683130938149
"121","oct8","California","San Francisco","San Francisco","San Francisco State University",6,"San FranciscoCalifornia",0.0130860564755901,"Primarily online","29778","Public, 4-year",0.000201491033649003
"122","oct8","California","Santa Clara","San Jose","San Jose State University",50,"Santa ClaraCalifornia",0.0114407122538452,"Primarily online","35400","Public, 4-year",0.00141242937853107
"123","oct8","California","Orange","Santa Ana","Santa Ana College",0,"OrangeCalifornia",0.0178392614900941,"Primarily online","28425","Public, 4-year",0
"124","oct8","California","Santa Clara","Santa Clara","Santa Clara University",22,"Santa ClaraCalifornia",0.0114407122538452,"Primarily online","8642","Private nonprofit, 4-year",0.00254570701226568
"125","oct8","California","Los Angeles","Santa Monica","Santa Monica College",0,"Los AngelesCalifornia",0.0276364222435322,"Fully online","28800","Public, 4-year",0
"126","oct8","California","Los Angeles","Claremont","Scripps College",4,"Los AngelesCalifornia",0.0276364222435322,"Fully online","1071","Private nonprofit, 4-year",0.00373482726423903
"127","oct8","California","Shasta","Redding","Shasta College",3,"ShastaCalifornia",0.0068969346956908,"Hybrid","9105","Public, 4-year",0.000329489291598023
"128","oct8","California","San Mateo","San Bruno","Skyline College",0,"San MateoCalifornia",0.0134977360277495,"Primarily online","9014","Public, 4-year",0
"129","oct8","California","Solano","Fairfield","Solano Community College",0,"SolanoCalifornia",0.0148846290459138,"Primarily online","9378","Public, 4-year",0
"130","oct8","California","Sonoma","Ronhert Park","Sonoma State University",2,"SonomaCalifornia",0.0163512266960124,"Primarily online","9459","Public, 4-year",0.00021143884131515
"132","oct8","California","Santa Clara","Stanford","Stanford University",137,"Santa ClaraCalifornia",0.0114407122538452,"Primarily online","17381","Private nonprofit, 4-year",0.00788217018583511
"134","oct8","California","Alameda","Berkeley","University of California, Berkeley",220,"AlamedaCalifornia",0.0130830016112926,"Primarily online","42501","Public, 4-year",0.00517634879179313
"135","oct8","California","Yolo","Davis","University of California, Davis",84,"YoloCalifornia",0.0131927437641723,"Primarily online","38167","Public, 4-year",0.00220085414101187
"137","oct8","California","Orange","Irvine ","University of California, Irvine",120,"OrangeCalifornia",0.0178392614900941,"Primarily online","36032","Public, 4-year",0.0033303730017762
"138","oct8","California","Los Angeles","Los Angeles","University of California, Los Angeles",199,"Los AngelesCalifornia",0.0276364222435322,"Primarily online","44537","Public, 4-year",0.00446819498394593
"139","oct8","California","Merced","Merced","University of California, Merced",4,"MercedCalifornia",0.0328111495246327,"Primarily online","8544","Public, 4-year",0.000468164794007491
"140","oct8","California","Riverside","Riverside","University of California, Riverside",68,"RiversideCalifornia",0.0247447325409039,"Primarily online","23922","Public, 4-year",0.00284257169133016
"141","oct8","California","San Diego","San Diego","University of California, San Diego",332,"San DiegoCalifornia",0.0147492908130712,"Primarily online","37887","Public, 4-year",0.00876290020323594
"143","oct8","California","Santa Barbara","Santa Barbara","University of California, Santa Barbara",10,"Santa BarbaraCalifornia",0.02096981180249,"Primarily online","25976","Public, 4-year",0.000384970742223591
"144","oct8","California","Santa Cruz","Santa Cruz","University of California, Santa Cruz",19,"Santa CruzCalifornia",0.00927847503596095,"Primarily online","19700","Public, 4-year",0.000964467005076142
"145","oct8","California","Los Angeles","La Verne","University of La Verne",0,"Los AngelesCalifornia",0.0276364222435322,"Primarily in person","8064","Private nonprofit, 4-year",0
"146","oct8","California","San Bernardino","Redlands","University of Redlands",6,"San BernardinoCalifornia",0.0260645800507778,"Fully online","4598","Private nonprofit, 4-year",0.00130491518051327
"147","oct8","California","San Diego","San Diego","University of San Diego",89,"San DiegoCalifornia",0.0147492908130712,"Primarily online","9073","Private nonprofit, 4-year",0.00980932436900694
"148","oct8","California","San Francisco","San Francisco","University of San Francisco",9,"San FranciscoCalifornia",0.0130860564755901,"Fully online","10713","Private nonprofit, 4-year",0.000840100812097452
"149","oct8","California","Los Angeles","Los Angeles","University of Southern California",459,"Los AngelesCalifornia",0.0276364222435322,"Primarily online","47310","Private nonprofit, 4-year",0.00970196575776791
"150","oct8","California","San Joaquin","Stockton","University of the Pacific",10,"San JoaquinCalifornia",0.0272637335530632,"Fully online","6493","Private nonprofit, 4-year",0.00154012012937009
"151","oct8","California","Santa Barbara","Santa Barbara","Westmont College",7,"Santa BarbaraCalifornia",0.02096981180249,"Hybrid","1277","Private nonprofit, 4-year",0.00548159749412686
"152","oct8","California","Los Angeles","Whittier","Whittier College",4,"Los AngelesCalifornia",0.0276364222435322,"Primarily online","1852","Private nonprofit, 4-year",0.00215982721382289
"153","oct8","Colorado","Alamosa","Alamosa","Adams State University",5,"AlamosaColorado",0.0157703443602538,"Hybrid","3110","Public, 4-year",0.00160771704180064
"154","oct8","Colorado","Arapahoe","Littleton","Arapahoe Community College",5,"ArapahoeColorado",0.0153170167075344,"Hybrid","11544","Public, 4-year",0.000433125433125433
"155","oct8","Colorado","Jefferson","Lakewood","Colorado Christian University",1,"JeffersonColorado",0.010674563075482,"Primarily in person","7625","Private nonprofit, 4-year",0.000131147540983607
"156","oct8","Colorado","El Paso","Colorado Springs","Colorado College",14,"El PasoColorado",0.0103261646606136,"Fully online","2144","Private nonprofit, 4-year",0.00652985074626866
"157","oct8","Colorado","Mesa","Grand Junction","Colorado Mesa University",68,"MesaColorado",0.00469489656961287,"Primarily in person","9492","Public, 4-year",0.00716392751790982
"159","oct8","Colorado","Jefferson","Golden","Colorado School of Mines",41,"JeffersonColorado",0.010674563075482,"Primarily in person","6325","Public, 4-year",0.00648221343873518
"162","oct8","Colorado","Denver","Denver","Community College of Denver",42,"DenverColorado",0.0195431587255968,"Hybrid","7887","Public, 4-year",0.00532521871434005
"163","oct8","Colorado","La Plata","Durango","Fort Lewis College",20,"La PlataColorado",0.00490919763077854,"Primarily in person","3319","Public, 4-year",0.00602591141910214
"164","oct8","Colorado","Adams","Westminster","Front Range Community College",10,"AdamsColorado",0.019602992534126,"Primarily online","18880","Public, 2-year",0.000529661016949153
"166","oct8","Colorado","Denver","Denver","Metropolitan State University of Denver",27,"DenverColorado",0.0195431587255968,"Hybrid","20192","Public, 4-year",0.00133716323296355
"167","oct8","Colorado","Morgan","Fort Morgan","Morgan Community College",2,"MorganColorado",0.0263520022017339,"Hybrid","1228","Public, 2-year",0.00162866449511401
"168","oct8","Colorado","El Paso","Colorado Springs","Pikes Peak Community College",11,"El PasoColorado",0.0103261646606136,"Primarily online","13204","Public, 4-year",0.00083308088458043
"169","oct8","Colorado","Pueblo","Pueblo","Pueblo Community College",3,"PuebloColorado",0.00747518168432052,"Hybrid","6197","Public, 4-year",0.000484105212199451
"170","oct8","Colorado","Jefferson","Lakewood","Red Rocks Community College",0,"JeffersonColorado",0.010674563075482,"Primarily online","7384","Public, 4-year",0
"171","oct8","Colorado","Denver","Denver","Regis University",66,"DenverColorado",0.0195431587255968,"Hybrid","7907","Private nonprofit, 4-year",0.00834703427342861
"172","oct8","Colorado","Las Animas","Trinidad","Trinidad State Junior College",1,"Las AnimasColorado",0.00172342478974218,"Hybrid","1542","Public, 2-year",0.000648508430609598
"177","oct8","Colorado","Denver","Denver","University of Denver",151,"DenverColorado",0.0195431587255968,"Primarily online","11952","Private nonprofit, 4-year",0.0126338688085676
