date,state,county,city,college,cases,countyCovidProp,plan,enrollment2018,type,adjCases
8-Oct,Georgia,Gwinnett,Lawrenceville,Georgia Gwinnett College,96,0.030256876,Hybrid,12508,"Public, 4-year",0.007675088
8-Oct,Georgia,Floyd,Rome,Georgia Highlands College,46,0.03408191,Primarily in person,6184,"Public, 4-year",0.007438551
8-Oct,Georgia,Fulton,Atlanta,Georgia Institute of Technology,929,0.026685791,Hybrid,32723,"Public, 4-year",0.028389818
8-Oct,Georgia,Baldwin,Milledgeville,Georgia Military College,1,0.048229004,Primarily online,8812,"Public, 4-year",0.000113482
8-Oct,Georgia,Bulloch,Statesboro,Georgia Southern University,1178,0.036930962,Primarily in person,26408,"Public, 4-year",0.044607695
8-Oct,Georgia,Sumter,Americus,Georgia Southwestern State University,41,0.031906246,Primarily in person,2907,"Public, 4-year",0.014103887
8-Oct,Georgia,Fulton,Atlanta,Georgia State University,197,0.026685791,Hybrid,34316,"Public, 4-year",0.005740762
8-Oct,Georgia,Cobb,Kennesaw,Kennesaw State University,353,0.02660559,Hybrid,35420,"Public, 4-year",0.009966121
8-Oct,Georgia,Troup,LaGrange,LaGrange College,18,0.041017133,Primarily in person,1029,"Private nonprofit, 4-year",0.017492711
8-Oct,Georgia,Bibb,Macon,Mercer University,259,0.040448162,Fully in person,8740,"Private nonprofit, 4-year",0.029633867
8-Oct,Georgia,Bibb,Macon,Middle Georgia State University,163,0.040448162,Primarily in person,7802,"Public, 4-year",0.020892079
8-Oct,Georgia,DeKalb,Atlanta,Oglethorpe University,3,0.025535462,Fully online,1264,"Private nonprofit, 4-year",0.002373418
8-Oct,Georgia,Chatham,Savannah,Savannah State University,35,0.030193829,Undetermined,4077,"Public, 4-year",0.008584744
8-Oct,Georgia,Coffee,Douglas,South Georgia State College,31,0.049014397,Fully in person,2482,"Public, 4-year",0.012489927
8-Oct,Georgia,Clarke,Athens,University of Georgia,3888,0.040902042,Primarily in person,38652,"Public, 4-year",0.100589879
8-Oct,Georgia,Lumpkin,Dahlonega,University of North Georgia,485,0.028176138,Primarily online,19722,"Public, 4-year",0.024591826
8-Oct,Georgia,Carroll,Carrollton,University of West Georgia,178,0.024243283,Primarily in person,13733,"Public, 4-year",0.01296148
8-Oct,Georgia,Lowndes,Valdosta,Valdosta State University,118,0.034470129,Primarily in person,11211,"Public, 4-year",0.010525377
8-Oct,Hawaii,Honolulu,Honolulu,Hawaii Pacific University,1,0.01207926,Primarily in person,4086,"Private nonprofit, 4-year",0.000244738
8-Oct,Hawaii,Honolulu,Honolulu,Kapiolani Community College,3,0.01207926,Primarily in person,6899,"Public, 2-year",0.000434846
8-Oct,Hawaii,Maui,Kahului,University of Hawaii Maui College,1,0.002998501,Primarily online,3092,"Public, 4-year",0.000323415
8-Oct,Hawaii,Hawaii,Hilo,"University of Hawaii, Hilo",2,0.004282602,Primarily online,3406,"Public, 4-year",0.000587199
8-Oct,Hawaii,Honolulu,Kapolei,University of Hawaii-West Oahu,0,0.01207926,Primarily online,3128,"Public, 4-year",0
8-Oct,Idaho,Ada,Boise ,Boise State University,400,0.028833835,Primarily in person,25504,"Public, 4-year",0.015683814
8-Oct,Idaho,Madison,Rexburg,Brigham Young University-Idaho,71,0.031773874,Primarily online,42341,"Private nonprofit, 4-year",0.001676862
8-Oct,Idaho,Twin Falls,Twin Falls,College of Southern Idaho,45,0.030778793,Primarily online,6906,"Public, 2-year",0.006516073
8-Oct,Idaho,Bannock,Pocatello,Idaho State University,148,0.016957453,Primarily in person,12363,"Public, 4-year",0.011971204
8-Oct,Idaho,Nez Perce,Lewiston,Lewis-Clark State College,12,0.012571768,Primarily in person,3684,"Public, 4-year",0.003257329
8-Oct,Idaho,Kootenai,Coeur d'Alene,North Idaho College,17,0.017682879,Hybrid,5270,"Public, 2-year",0.003225806
8-Oct,Idaho,Canyon,Nampa,Northwest Nazarene University,12,0.037333206,Primarily in person,2201,"Private nonprofit, 4-year",0.005452067
8-Oct,Idaho,Latah,Moscow,University of Idaho,307,0.016704897,Primarily in person,11841,"Public, 4-year",0.025926864
